Stand_Gemeindegrenzen,Bezirk,bfs_nr,Gemeinde,Total_Abschluss_gymnasial,Total_19_Jahre_alt,Maturitaetsquote_gymnasial
2021,Bezirk Meilen,155,Männedorf,200,481,41.58
2021,Bezirk Meilen,156,Meilen,209,495,42.22
2021,Bezirk Meilen,157,Oetwil am See,23,197,11.68
2021,Bezirk Meilen,158,Stäfa,196,578,33.91
2021,Bezirk Meilen,159,Uetikon am See,101,329,30.7
2021,Bezirk Meilen,160,Zumikon,90,215,41.86
2021,Bezirk Meilen,161,Zollikon,195,416,46.88
2021,Bezirk Pfäffikon,172,Fehraltorf,33,246,13.41
2021,Bezirk Pfäffikon,173,Hittnau,37,169,21.89
2021,Bezirk Pfäffikon,176,Lindau,43,241,17.84
2021,Bezirk Pfäffikon,177,Pfäffikon,89,448,19.87
2021,Bezirk Pfäffikon,178,Russikon,31,181,17.13
2021,Bezirk Pfäffikon,180,Weisslingen,27,159,16.98
2021,Bezirk Pfäffikon,181,Wila,6,85,7.06
2021,Bezirk Pfäffikon,182,Wildberg,NA,34,NA
2021,Bezirk Pfäffikon,296,Illnau-Effretikon,126,715,17.62
2021,Bezirk Pfäffikon,297,Bauma,26,201,12.94
2021,Bezirk Uster,191,Dübendorf,179,1060,16.89
2021,Bezirk Uster,192,Egg,87,342,25.44
2021,Bezirk Uster,193,Fällanden,74,313,23.64
2021,Bezirk Uster,194,Greifensee,49,204,24.02
2021,Bezirk Uster,195,Maur,141,462,30.52
2021,Bezirk Uster,196,Mönchaltorf,28,165,16.97
2021,Bezirk Uster,197,Schwerzenbach,21,195,10.77
2021,Bezirk Uster,198,Uster,301,1362,22.1
2021,Bezirk Uster,199,Volketswil,95,767,12.39
2021,Bezirk Uster,200,Wangen-Brüttisellen,53,376,14.1
2021,Bezirk Winterthur,211,Altikon,NA,35,NA
2021,Bezirk Winterthur,213,Brütten,30,74,40.54
2021,Bezirk Winterthur,214,Dägerlen,NA,50,NA
2021,Bezirk Winterthur,215,Dättlikon,NA,26,NA
2021,Bezirk Winterthur,216,Dinhard,7,66,10.61
2021,Bezirk Winterthur,218,Ellikon an der Thur,NA,40,NA
2021,Bezirk Winterthur,219,Elsau,29,171,16.96
2021,Bezirk Winterthur,220,Hagenbuch,NA,27,NA
2021,Bezirk Winterthur,221,Hettlingen,70,212,33.02
2021,Bezirk Winterthur,223,Neftenbach,37,233,15.88
2021,Bezirk Winterthur,224,Pfungen,28,192,14.58
2021,Bezirk Winterthur,225,Rickenbach (ZH),23,124,18.55
2021,Bezirk Winterthur,226,Schlatt (ZH),NA,32,NA
2021,Bezirk Winterthur,227,Seuzach,50,264,18.94
2021,Bezirk Winterthur,228,Turbenthal,27,212,12.74
2021,Bezirk Winterthur,230,Winterthur,739,4083,18.1
2021,Bezirk Winterthur,231,Zell (ZH),30,271,11.07
2021,Bezirk Winterthur,294,Elgg,45,213,21.13
2021,Bezirk Winterthur,298,Wiesendangen,53,270,19.63
2021,Bezirk Zürich,261,Zürich,2690,12334,21.81
2021,Kanton Zürich,NA,Kanton Zürich,11071,56225,19.69
